Opponent,Name,Rk,School,X,Type,GS,MP,FG,FGA,FG.,X2P,X2PA,X2P.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conf,SRS,DRE
alabama,Willie Cauley-Stein,17,Kentucky,@,REG,1,14,2,6,0.333,2,6,0.333,0,0,NA,2,2,1,2,1,3,2,0,0,0,4,6,SEC,10.57,-0.404
alabama,Willie Cauley-Stein,21,Kentucky,,REG,1,15,4,4,1,4,4,1,0,0,NA,4,4,1,0,1,1,1,1,0,0,5,12,SEC,10.57,7.36
arkansas,Willie Cauley-Stein,34,Kentucky,N,CTOURN,1,19,3,5,0.6,3,5,0.6,0,0,NA,2,2,1,3,1,4,2,1,2,3,4,8,SEC,14.12,0.586
arkansas,Willie Cauley-Stein,29,Kentucky,,REG,1,18,4,5,0.8,4,5,0.8,0,0,NA,0,0,NA,2,3,5,1,0,1,0,4,8,SEC,14.12,3.087
auburn,Willie Cauley-Stein,27,Kentucky,,REG,1,21,8,9,0.889,8,9,0.889,0,0,NA,3,3,1,3,7,10,2,0,4,1,3,19,SEC,3.33,10.734
auburn,Willie Cauley-Stein,33,Kentucky,N,CTOURN,1,18,0,1,0,0,1,0,0,0,NA,8,8,1,1,5,6,1,1,3,2,5,8,SEC,3.33,4.057
boston-university,Willie Cauley-Stein,4,Kentucky,,REG,1,23,1,4,0.25,1,4,0.25,0,0,NA,2,2,1,1,3,4,1,1,5,4,2,4,Patriot,-5.59,-3.353
buffalo,Willie Cauley-Stein,2,Kentucky,,REG,1,10,1,6,0.167,1,5,0.2,0,1,0,1,2,0.5,2,3,5,0,0,0,1,5,3,MAC,7.95,-4.86
cincinnati,Willie Cauley-Stein,36,Kentucky,N,NCAA,1,23,2,4,0.5,2,4,0.5,0,0,NA,4,4,1,1,6,7,0,0,3,2,4,8,AAC,10.74,0.077
columbia,Willie Cauley-Stein,10,Kentucky,,REG,1,19,3,8,0.375,3,7,0.429,0,1,0,0,0,NA,0,3,3,1,1,3,0,1,6,Ivy,-0.33,0.621
eastern-kentucky,Willie Cauley-Stein,9,Kentucky,,REG,1,23,8,9,0.889,7,8,0.875,1,1,1,2,2,1,2,7,9,2,1,4,2,1,19,OVC,0.03,10.912
florida,Willie Cauley-Stein,31,Kentucky,,REG,1,27,4,10,0.4,4,10,0.4,0,0,NA,5,6,0.833,4,5,9,3,1,6,1,2,13,SEC,13.33,5.038
florida,Willie Cauley-Stein,32,Kentucky,N,CTOURN,1,27,5,10,0.5,5,10,0.5,0,0,NA,3,3,1,6,6,12,0,0,1,0,0,13,SEC,13.33,2.213
florida,Willie Cauley-Stein,23,Kentucky,@,REG,1,31,6,10,0.6,6,9,0.667,0,1,0,7,7,1,4,4,8,3,0,2,2,3,19,SEC,13.33,4.704
georgia,Willie Cauley-Stein,30,Kentucky,@,REG,1,27,8,12,0.667,8,12,0.667,0,0,NA,3,5,0.6,2,5,7,1,1,1,1,5,19,SEC,12.48,5.513
georgia,Willie Cauley-Stein,22,Kentucky,,REG,1,31,6,11,0.545,6,11,0.545,0,0,NA,3,3,1,1,12,13,3,0,2,1,3,15,SEC,12.48,3.604
grand-canyon,Willie Cauley-Stein,1,Kentucky,,REG,1,22,3,7,0.429,3,6,0.5,0,1,0,2,2,1,3,5,8,2,0,3,2,3,8,WAC,-6.6,-0.587
hampton,Willie Cauley-Stein,35,Kentucky,N,NCAA,1,25,8,12,0.667,8,12,0.667,0,0,NA,5,6,0.833,3,8,11,0,0,3,0,2,21,MEAC,-8.21,8.505
kansas,Willie Cauley-Stein,3,Kentucky,N,REG,1,18,4,8,0.5,4,8,0.5,0,0,NA,1,2,0.5,1,7,8,3,0,4,0,3,9,Big 12,18.51,3.892
louisiana-state,Willie Cauley-Stein,24,Kentucky,@,REG,1,26,6,13,0.462,6,13,0.462,0,0,NA,0,0,NA,7,6,13,2,2,4,2,3,12,SEC,11.43,3.104
louisville,Willie Cauley-Stein,13,Kentucky,@,REG,1,26,3,7,0.429,3,7,0.429,0,0,NA,4,5,0.8,5,4,9,0,0,0,4,2,10,ACC,18.14,-5.386
mississippi,Willie Cauley-Stein,14,Kentucky,,REG,1,24,3,6,0.5,2,5,0.4,1,1,1,4,7,0.571,3,1,4,0,0,0,0,2,11,SEC,11.43,0.686
mississippi-state,Willie Cauley-Stein,28,Kentucky,@,REG,1,26,4,5,0.8,4,5,0.8,0,0,NA,4,4,1,1,9,10,2,0,2,2,2,12,SEC,2.58,3.834
missouri,Willie Cauley-Stein,20,Kentucky,@,REG,1,19,3,8,0.375,3,8,0.375,0,0,NA,1,2,0.5,1,1,2,0,1,1,1,5,7,SEC,1.19,-2.249
missouri,Willie Cauley-Stein,16,Kentucky,,REG,1,19,3,5,0.6,3,4,0.75,0,1,0,6,7,0.857,3,7,10,1,1,5,1,3,12,SEC,1.19,7.941
montana-state,Willie Cauley-Stein,5,Kentucky,,REG,1,20,4,6,0.667,4,5,0.8,0,1,0,0,0,NA,3,7,10,1,0,6,2,1,8,Big Sky,-12.93,2.79
north-carolina,Willie Cauley-Stein,11,Kentucky,,REG,1,19,0,0,NA,0,0,NA,0,0,NA,2,2,1,1,1,2,0,0,1,0,1,2,ACC,20.62,-0.349
notre-dame,Willie Cauley-Stein,38,Kentucky,N,NCAA,1,25,10,13,0.769,10,13,0.769,0,0,NA,5,6,0.833,1,4,5,4,2,1,3,4,25,ACC,19.23,10.535
providence,Willie Cauley-Stein,7,Kentucky,,REG,1,20,4,7,0.571,4,7,0.571,0,0,NA,3,7,0.429,2,4,6,0,0,0,2,4,11,Big East,13.75,-2.07
south-carolina,Willie Cauley-Stein,25,Kentucky,,REG,1,17,3,3,1,3,3,1,0,0,NA,3,4,0.75,1,3,4,0,0,1,2,3,9,SEC,10.61,1.123
south-carolina,Willie Cauley-Stein,19,Kentucky,@,REG,1,12,2,3,0.667,2,3,0.667,0,0,NA,0,2,0,0,1,1,0,0,2,0,2,4,SEC,10.61,0.238
tennessee,Willie Cauley-Stein,26,Kentucky,@,REG,1,16,1,1,1,1,1,1,0,0,NA,1,1,1,2,2,4,0,0,2,1,3,3,SEC,7.28,0.044
texas,Willie Cauley-Stein,8,Kentucky,,REG,1,16,2,5,0.4,2,5,0.4,0,0,NA,6,6,1,1,2,3,0,1,0,0,3,10,Big 12,16.19,3.524
texas-am,Willie Cauley-Stein,15,Kentucky,@,REG,1,27,2,5,0.4,2,5,0.4,0,0,NA,5,6,0.833,4,5,9,1,0,3,5,5,9,SEC,10.77,-4.367
texas-arlington,Willie Cauley-Stein,6,Kentucky,,REG,1,17,5,5,1,5,5,1,0,0,NA,3,5,0.6,5,6,11,4,1,3,0,0,13,Sun Belt,-3.58,11.943
ucla,Willie Cauley-Stein,12,Kentucky,N,REG,1,20,2,5,0.4,2,5,0.4,0,0,NA,0,0,NA,3,7,10,0,0,2,2,3,4,Pac-12,12.08,-2.95
vanderbilt,Willie Cauley-Stein,18,Kentucky,,REG,1,18,1,4,0.25,1,4,0.25,0,0,NA,2,2,1,2,2,4,0,1,7,1,4,4,SEC,11.94,2.097
west-virginia,Willie Cauley-Stein,37,Kentucky,N,NCAA,1,13,0,3,0,0,3,0,0,0,NA,1,2,0.5,1,1,2,0,0,0,1,4,1,Big 12,15.15,-5.168
wisconsin,Willie Cauley-Stein,39,Kentucky,N,NCAA,1,31,7,11,0.636,7,11,0.636,0,0,NA,2,3,0.667,5,4,9,1,1,1,2,2,16,Big Ten,24.47,2.569
