Opponent,Name,Rk,School,X,Type,GS,MP,FG,FGA,FG.,X2P,X2PA,X2P.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conf,SRS,DRE
alabama-birmingham,Sam Dekker,5,Wisconsin,N,REG,1,15,2,6,0.333,1,4,0.25,1,2,0.5,0,0,NA,1,0,1,1,0,0,1,3,5,CUSA,1.96,-3.14
arizona,Sam Dekker,38,Wisconsin,N,NCAA,1,37,8,11,0.727,3,5,0.6,5,6,0.833,6,7,0.857,1,4,5,1,0,0,1,2,27,Pac-12,24.33,9.718
boise-state,Sam Dekker,4,Wisconsin,,REG,1,24,2,4,0.5,2,2,1,0,2,0,0,0,NA,0,5,5,1,0,0,2,2,4,MWC,10,-4.164
buffalo,Sam Dekker,13,Wisconsin,,REG,1,32,4,11,0.364,1,4,0.25,3,7,0.429,2,2,1,2,4,6,0,1,0,1,0,13,MAC,7.95,-0.452
california,Sam Dekker,12,Wisconsin,@,REG,1,30,5,10,0.5,5,8,0.625,0,2,0,4,5,0.8,1,5,6,0,0,1,1,2,14,Pac-12,5.35,-0.495
chattanooga,Sam Dekker,2,Wisconsin,,REG,1,24,7,10,0.7,5,6,0.833,2,4,0.5,2,4,0.5,1,3,4,2,1,0,2,1,18,Southern,-1.62,5.036
coastal-carolina,Sam Dekker,35,Wisconsin,N,NCAA,1,35,8,15,0.533,4,7,0.571,4,8,0.5,0,0,NA,1,1,2,2,0,0,0,1,20,Big South,-1,3.14
duke,Sam Dekker,40,Wisconsin,N,NCAA,1,34,6,15,0.4,6,9,0.667,0,6,0,0,0,NA,3,5,8,2,1,0,0,1,12,ACC,24.51,-1.824
duke,Sam Dekker,8,Wisconsin,,REG,1,24,2,5,0.4,1,4,0.25,1,1,1,0,0,NA,2,2,4,1,0,0,1,0,5,ACC,24.51,-2.864
georgetown,Sam Dekker,6,Wisconsin,N,REG,1,32,6,11,0.545,5,7,0.714,1,4,0.25,4,5,0.8,3,3,6,1,1,1,2,1,17,Big East,15.5,2.133
green-bay,Sam Dekker,3,Wisconsin,,REG,1,32,6,12,0.5,5,8,0.625,1,4,0.25,6,9,0.667,1,3,4,1,0,0,1,0,19,Horizon,5.7,0.598
illinois,Sam Dekker,25,Wisconsin,,REG,1,34,5,9,0.556,5,7,0.714,0,2,0,0,2,0,3,1,4,2,3,0,1,1,10,Big Ten,12.46,2.076
