"Name","Pos","Coach","MP.nba","EXP","Age","SOS","X2PA.nba","X3PA.nba","FTA.nba","TRB.nba","AST.nba","STL.nba","BLK.nba","TOV.nba","PF.nba","PTS.nba","X2PER.nba","X3PER.nba","FTR.nba","ATO.nba","X2PA","X3PA","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","X2PER","X3PER","FTR","ATO"
"Cartier Martin",3,"Bob Huggins",656,4,22.1123287671233,5.53,-0.828945912436517,1.2524928439073,-0.340853373623462,-0.231618959602125,-0.65609408282745,-0.295683097800617,-0.665214549381886,-1.01953199011242,0.447909032989928,-0.201114066459596,-1.2669375105528,-0.0320298540674203,-0.436227058072748,-0.344096341101213,-0.437249852258461,1.76861399264456,0.28096032025587,-0.479083064702086,-0.664074716069458,-0.792233945017178,-0.692517459925612,-0.799061934251859,1.02671027473459,1.23792836332108,-0.0199002833820303,0.276117981402004,-0.443856335205603,-0.482966036849013
"Casey Jacobsen",2.75,"Mike Montgomery",4773,3,20.786301369863,9.03,-1.91220434702715,0.96660836326776,-0.298953746922973,-1.04451304678407,-0.370882583695058,-0.682040627756696,-0.80505558606188,-1.13179027058481,-1.01683376704564,-0.818651101638022,-0.58473072107854,0.726124856050343,0.408780994833099,0.280504336097142,-0.154575529166111,0.922114917212383,1.14490528575153,-1.00633963026577,0.314172772436059,-1.40796305780457,-0.853173213083508,-0.605385809499217,-1.27338269368217,0.793430141300911,-0.815846737889388,0.158962581302171,0.483523189765845,0.711983560867088
"Cedric Ceballos",3,"John Sneed",6693,2,20.413698630137,5.13,2.65097294852441,-0.571442488404466,1.65955898118343,0.763979182277656,-0.483009541798883,-0.0832663038917458,-0.404442668888209,0.596476786610007,-0.991752689320569,2.8662092714542,1.40451080647374,NA,0.146999165546788,-0.771446723627628,1.15007519279858,-0.021126909697761,0.7129328030037,1.41904057132719,-0.736537492995793,0.131359724163909,-0.531861706767715,0.362994814263988,-0.718187839236743,0.842818832636485,-0.0502706456571889,-0.639265319669575,-0.116475840617053,-0.898945577778529
"Cedric Henderson '97",3,"Larry Finch",6112,4,21.8082191780822,6.46,0.298093680628573,-0.916471094276355,-0.681405330322982,-0.654330799946265,-0.214274947554271,0.314406066474031,-0.15578176098373,0.171393563272396,-0.374351164937849,-0.675064325842515,-0.27541221845982,NA,-0.540842891075365,-0.314536180928286,0.758679976209174,0.0756158417802023,-0.187009869387612,-0.0994583374962314,-0.77276888145896,1.054953393345,0.00365747042527326,1.23453737565087,0.471515420289168,-0.227269479634296,-1.19447404437379,-1.66657749410789,-0.650949685061897,-1.07842913604761
"Cedric Simmons",4,"Herb Sendek",705,2,19.9917808219178,5.63,-0.246028477532743,-1.03314639577865,-0.344777107603188,0.397616250068346,-1.11017021742821,-1.40338993415103,1.21890811639299,-1.02667944255949,0.603738632200555,-1.45175635682267,-0.892471973845596,NA,0.205087612905231,-1.17414033648611,-0.328528958761404,-1.18203992743332,0.964916751273267,0.364527440199813,-0.337992219900953,-0.894855463815077,1.87797459060073,-0.411709684746577,1.58190512918002,-0.655304804542608,1.01042495059226,NA,2.55848378312424,-0.219588127588096
"Chandler Parsons",3.33333333333333,"Billy Donovan",7345,4,22.1835616438356,7.57,-0.672955631546422,1.26711844557717,-0.903923664624742,-0.264856639655271,0.299303033410499,-0.0330877970035042,-0.434175673995475,-0.58078739756461,-1.25213720143605,0.481509514775007,1.43334627822079,0.733583382936718,-0.988660405442459,0.893855629340557,-1.24178446413669,0.172358593258166,-1.51892502452676,0.385617702822361,0.748949433994066,-0.586990907421381,-0.585413624487014,-0.411709684746577,-0.876814940506864,-1.49491255724737,0.232659649298189,0.0506158579015744,-0.949010617547598,1.11638677446004
"Channing Frye",4.5,"Lute Olson",5556,4,21.6246575342466,8.03,1.29957902988678,-0.802772390338739,-0.266437543965996,0.771055057152109,-0.805845742604188,-1.02569561067316,0.139762840922976,-0.584684894005694,0.668031771676126,0.497560635006804,0.116539086031522,NA,-0.605981478754922,-0.811466517629745,0.693447440110939,-1.01274011234689,-0.546986938344137,0.406707965444908,-0.410454996827287,-0.586990907421381,1.23535157796915,-1.18641418375714,0.154261217748925,-0.128492096963146,0.781877280682159,NA,-0.426329376108397,0.0820836244872887
"Charles Jenkins",1.33333333333333,"Mo Cassara",1334,4,21.8383561643836,0.13,0.431315526552563,-0.731592792941521,-1.3149957108454,-1.31141549309097,1.51109806188626,0.286218755425864,-0.746277748259889,-0.0258432151957743,-0.755516936718824,-0.638824598937096,-0.157109422105617,NA,-1.24999377360768,1.998883881421,-0.00236627827023025,0.656072350647983,0.676935096108048,-1.40705462009417,1.14749470708891,0.439224280557604,-0.478309789048416,-0.799061934251859,-0.956128491141924,1.18853967198551,0.479759880673605,0.827335225656505,0.162362379828277,1.9981302098118
"Charles Jones '99",1.5,"Ray Haskins",1138,4,22.4602739726027,-2.06,-1.81201532221019,1.84298312199839,-1.47305104324669,-1.08690398341951,0.731764375875839,0.800024332838565,-0.607076967871011,-0.6115744978039,-1.12895983306035,-1.13700417437,-2.48456450064328,-0.130321848398491,-1.31773050169642,1.59986267473634,0.0628662578280046,2.2039563742954,-0.834968593509358,-1.09070068075596,1.69096553403642,NA,NA,NA,NA,1.23792836332108,0.407410713829452,-0.293634724250676,-1.49788705496045,NA
"Charles O'Bannon",2,"Steve Lavin",399,4,21.8547945205479,10.29,0.57962644298856,-0.849836983072005,-1.01041657559954,-0.0408609203876794,-0.1250885321464,-0.411298508581928,-0.545331516740952,-1.02374164255618,-0.407222188848713,-0.694317222480302,-0.820238013627455,NA,-0.984481737553521,0.633447473301129,-0.241552243963757,-0.335540852001142,-0.474991524552833,-0.204909650608969,-0.301760831437785,-0.586990907421381,-0.371205953609819,-0.702223871875538,-0.797501389871803,-0.260195273858012,1.32904304046693,-0.0697693903213111,-0.138864310871788,-0.0377470992537665
"Charles Smith '97",2,"Dave Bliss",609,4,21.358904109589,3.67,-0.373662159451359,1.36883901210149,-1.35057716113977,-1.19139099588382,-0.439362488216485,1.25102937026826,0.592863928952132,0.88076318717429,-0.291838122337504,-0.339467267654977,-0.383133533582073,-1.04884138763125,-1.44528877581582,-0.79964884101645,0.0628662578280046,1.47838573821067,-0.15101216249196,-0.141638862741326,0.422866937825561,0.7470888369513,-0.103446365013324,1.23453737565087,-0.480247187331561,1.04037359797878,-0.138686362830744,0.0662334036169761,-0.851082030672771,-0.0549769343000221
"Charlie Villanueva",4,"Jim Calhoun",9117,2,20.3534246575342,7.62,0.972272215769725,1.02260020567191,-0.308285430522368,0.812293427267418,-0.678672184686521,-0.769103781287713,0.163824670034177,-0.518823821717872,0.0826372459301256,1.52052421474518,0.572677196943498,0.0502290565130234,-0.929349567890138,-0.643420766073355,0.889145048405644,-1.01274011234689,0.208964906464565,1.20813794510171,-0.664074716069458,-0.894855463815077,1.12824774253055,0.362994814263988,0.154261217748925,-0.0626405085157139,-0.113312155228352,NA,0.159803415222815,-0.825040583197143
"Charlie Ward",1,"Pat Kennedy",831,4,23.2191780821918,7.22,-1.45002487076682,1.36526204827207,-0.51531060261423,-0.559648073496609,1.57149045924962,2.89010266236559,-0.685255718917694,2.39676965804584,0.527964975976336,-0.562270863283985,-0.220731414305261,-0.356956743465201,-0.348863280385538,0.425350011567657,-1.74190057422315,0.631886662778492,-1.87890209348328,-1.70231829680984,0.96633776477307,1.77330402493029,-0.853173213083508,-0.411709684746577,-0.876814940506864,-2.21928003016913,-0.806768760511141,-1.89962516330917,-1.34327887319705,1.38358175486966
"Chase Budinger",2.8,"Russ Pennell",5783,3,20.6109589041096,8.8,-0.736837686533171,1.94850022780613,-0.821947531170117,-0.22776745353709,-0.367968651068552,-0.732884072210435,-0.657258780591789,-1.30376280226969,-1.29831536415639,0.681912859436457,0.503671635513889,0.494506650855715,-1.0439672077241,0.464213474893119,-0.567714924454931,0.656072350647983,-0.654980059031095,-0.373631751589348,0.314172772436059,0.02873820536601,-0.585413624487014,-0.411709684746577,-1.11475559241205,-0.0297147142919977,0.000547548317732411,0.613455979463119,-0.661304352554712,0.581996813640784
