"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Kevin Seraphin","WAS",2011,635,-0.008,0,-0.016,0.001,-0.013,-0.002,0.032,0.012,-2.29,0.07,-0.007,-0.015,-0.015,0.045,-2.22
"Kevin Seraphin","WAS",2012,1176,-0.007,0.004,-0.019,0.01,-0.012,-0.007,0.018,0.011,-2.4,0.04,-0.002,-0.009,-0.02,0.029,-2.36
"Kevin Seraphin","WAS",2013,1721,-0.012,0.009,-0.021,0.006,-0.014,-0.007,0.006,0.01,-4.17,0.34,-0.003,-0.016,-0.022,0.016,-3.83
"Kevin Seraphin","WAS",2014,578,-0.006,0.002,-0.018,0.004,-0.011,-0.005,0.016,0.011,-2.31,-0.03,-0.004,-0.013,-0.017,0.027,-2.35
"Kevin Seraphin","WAS",2015,1086,-0.007,0.007,-0.018,0.006,-0.012,-0.004,0.009,0.013,-2.68,1.18,0,-0.012,-0.016,0.022,-1.5
"Kevin Willis","ATL",2005,344,-0.006,0,-0.01,0.003,-0.008,-0.002,0.012,0.015,-2.04,-0.02,-0.007,-0.007,-0.01,0.028,-2.06
"Kevin Willis","DAL",2007,43,-0.005,0.001,-0.008,-0.001,-0.008,0.004,-0.002,0.016,-2.18,0.78,-0.004,-0.009,-0.004,0.014,-1.4
"Kevin Willis","DEN, TOR",2001,1830,-0.011,-0.005,-0.015,0.018,-0.011,-0.005,0.022,0.019,-2.88,-0.3,-0.015,0.004,-0.016,0.04,-3.19
"Kevin Willis","HOU",2002,865,-0.007,-0.002,-0.011,0.008,-0.009,-0.002,0.03,0.021,-1.73,0.25,-0.009,-0.003,-0.011,0.051,-1.48
"Kevin Willis","SAS",2003,840,-0.005,-0.002,-0.012,0.009,-0.013,-0.002,0.024,0.021,-1.97,0.4,-0.007,-0.003,-0.014,0.045,-1.57
"Kevin Willis","SAS",2004,373,-0.003,0,-0.014,0.005,-0.011,0.003,0.019,0.016,-1.64,0.64,-0.003,-0.009,-0.008,0.035,-1
"Kevinn Pinkney","BOS",2007,100,-0.003,0.001,-0.006,0.002,-0.002,0,0.008,0,-0.88,0.21,-0.002,-0.005,-0.002,0.008,-0.67
"Keyon Dooling","BOS",2012,662,-0.006,0.002,-0.004,-0.004,0.002,-0.002,-0.021,-0.014,-1.96,-0.75,-0.004,-0.008,0,-0.034,-2.72
"Keyon Dooling","LAC",2001,1237,-0.011,-0.005,0.015,-0.004,0.006,-0.002,-0.019,-0.021,-1.12,-2.49,-0.016,0.011,0.005,-0.04,-3.6
"Keyon Dooling","LAC",2002,155,-0.006,0.001,0.002,-0.008,0.004,0,-0.02,-0.015,-1.57,-0.32,-0.005,-0.007,0.004,-0.035,-1.89
"Keyon Dooling","LAC",2003,969,-0.009,-0.001,-0.001,-0.005,0.005,-0.001,-0.02,-0.01,-1.62,-0.6,-0.009,-0.006,0.004,-0.03,-2.22
"Keyon Dooling","LAC",2004,1137,-0.011,0.001,0.003,-0.008,0.008,0.002,-0.02,-0.014,-1.7,-0.51,-0.01,-0.005,0.01,-0.034,-2.22
"Keyon Dooling","MEM",2013,82,-0.001,0,0.005,-0.007,0.003,-0.002,-0.019,-0.014,-0.42,-0.58,-0.001,-0.003,0.002,-0.034,-1
