"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Andrea Bargnani","NYK",2015,653,0.003,-0.002,0,0.018,-0.004,-0.012,-0.01,0.008,-0.62,-0.62,0.001,0.018,-0.016,-0.002,-1.24
"Andrea Bargnani","TOR",2007,1629,0.005,0,-0.003,0.006,-0.005,-0.005,-0.011,0.004,-0.55,-0.12,0.005,0.004,-0.01,-0.006,-0.68
"Andrea Bargnani","TOR",2008,1861,-0.002,-0.003,-0.002,0.004,-0.001,-0.007,-0.013,0.006,-1.2,-0.78,-0.005,0.002,-0.008,-0.007,-1.97
"Andrea Bargnani","TOR",2009,2453,0.006,0,0.002,0.009,-0.004,-0.008,-0.013,0.006,-0.03,-0.27,0.007,0.011,-0.012,-0.008,-0.3
"Andrea Bargnani","TOR",2010,2799,0.009,-0.002,-0.005,0.011,-0.002,-0.01,-0.007,0.005,0.56,-0.8,0.007,0.006,-0.012,-0.002,-0.24
"Andrea Bargnani","TOR",2011,2353,0.008,-0.009,0.002,0.015,-0.006,-0.008,-0.011,0.007,0.14,-1.17,0,0.017,-0.014,-0.004,-1.03
"Andrea Bargnani","TOR",2012,1032,0.007,-0.008,0.01,0.015,-0.005,-0.007,-0.015,0.008,0.25,-0.84,-0.001,0.026,-0.012,-0.008,-0.59
"Andrea Bargnani","TOR",2013,1003,-0.002,-0.003,-0.007,0.009,-0.002,-0.004,-0.015,-0.002,-1.71,-0.6,-0.005,0.002,-0.006,-0.016,-2.31
"Andreas Glyniadakis","SEA",2007,81,-0.012,-0.002,-0.027,-0.004,-0.037,-0.008,-0.019,0.018,-9.09,-0.45,-0.014,-0.031,-0.045,-0.001,-9.54
"Andrei Kirilenko","BRK",2014,857,-0.004,0.004,-0.005,0.009,-0.013,0.006,0.009,0.002,-2.19,1.8,0,0.003,-0.007,0.011,-0.4
