"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"James Jones","PHO",2007,1376,-0.001,0,-0.005,0.004,0.005,0.001,-0.001,-0.006,0.41,-0.13,-0.002,0,0.006,-0.008,0.12
"James Jones","POR",2008,1276,-0.001,0.005,-0.005,0.003,0.003,0.001,-0.003,-0.006,0.35,0.78,0.005,-0.001,0.004,-0.01,1.03
"James Lang","WAS",2007,55,0.001,0.001,0,-0.001,0.001,-0.002,0.001,-0.002,0.37,-0.1,0.002,-0.001,-0.001,-0.001,0.22
"James Nunnally","ATL, PHI",2014,165,-0.002,0.002,0,0.002,0.001,0.001,-0.002,-0.001,-0.2,0.39,0.001,0.001,0.002,-0.004,0.22
"James Posey","BOS",2008,1821,-0.021,0.005,0.011,-0.009,0,0.004,-0.004,-0.004,-2.88,0.97,-0.014,0.001,0.004,-0.008,-1.68
"James Posey","DEN",2001,2255,-0.002,-0.009,-0.009,-0.001,-0.001,0.014,0.011,0.001,-0.46,0.62,-0.013,-0.009,0.014,0.012,0.1
"James Posey","DEN",2002,2238,-0.007,-0.005,-0.008,0,-0.005,0.011,0.011,0.003,-1.36,0.75,-0.012,-0.008,0.007,0.015,-0.57
"James Posey","DEN, HOU",2003,2518,-0.01,-0.007,0.001,-0.002,-0.001,0.01,0.01,-0.006,-0.68,-0.36,-0.017,-0.001,0.01,0.004,-1.14
"James Posey","IND",2011,839,-0.002,0,-0.003,0.001,0,0.001,-0.003,-0.002,-0.29,0.06,-0.002,-0.002,0.001,-0.004,-0.26
"James Posey","MEM",2004,2451,-0.006,-0.005,-0.006,-0.001,-0.004,0.009,-0.002,-0.004,-1.6,-0.3,-0.012,-0.007,0.005,-0.006,-1.89
"James Posey","MEM",2005,1382,0,-0.003,0.003,0.003,0,0.007,-0.008,0.002,0.19,0.3,-0.003,0.006,0.008,-0.006,0.39
"James Posey","MIA",2006,1914,-0.005,0.002,-0.001,-0.002,0.001,0.008,-0.011,0.005,-0.97,1.01,-0.003,-0.003,0.01,-0.006,0.06
"James Posey","MIA",2007,1919,-0.005,0.002,0.003,0,0.002,0.004,-0.005,0.005,-0.51,1.24,-0.003,0.003,0.007,0,0.71
"James Posey","NOH",2009,2140,-0.023,0.004,0.008,-0.007,-0.001,0.003,-0.004,-0.001,-2.82,0.51,-0.017,0,0.002,-0.005,-2.13
"James Posey","NOH",2010,1731,-0.016,0.004,0.007,-0.008,0,0.005,0.002,-0.006,-1.29,0.76,-0.01,-0.001,0.006,-0.006,-0.49
"James Robinson","ORL",2001,50,0.001,-0.001,-0.001,0,0,0.001,0.001,0,0.2,-0.07,-0.001,0,0.002,0.001,0.1
"James Singleton","DAL",2009,884,-0.01,0.003,-0.005,0.008,-0.004,-0.001,0.019,-0.002,-1.11,0.8,-0.006,0.003,-0.005,0.017,-0.21
"James Singleton","DAL, WAS",2010,977,-0.011,0.004,-0.003,0.008,-0.004,-0.001,0.019,0,-1.15,0.84,-0.006,0.005,-0.005,0.019,-0.21
"James Singleton","LAC",2006,753,-0.001,0.001,-0.003,-0.003,0,-0.001,0.008,0.009,-0.04,0.39,0,-0.006,-0.001,0.018,0.32
"James Singleton","LAC",2007,376,-0.001,0,-0.002,-0.002,0,-0.001,0.003,0.004,-0.06,0.08,-0.001,-0.003,-0.001,0.008,0
"James Singleton","WAS",2012,262,0,-0.002,0,0.001,0.002,0.001,-0.001,0,0.31,-0.16,-0.002,0.001,0.003,-0.001,0.09
"James Southerland","CHA, NOP",2014,30,-0.001,0.001,-0.001,-0.001,0,0,0,0.001,-0.13,0.16,0.001,-0.001,0,0.002,0.05
"James Thomas","ATL, POR",2005,117,-0.002,0.001,-0.001,-0.001,-0.002,-0.001,0.004,0.001,-0.43,0,-0.001,-0.002,-0.003,0.005,-0.39
"James Thomas","CHI, PHI",2006,150,-0.002,0.002,-0.001,-0.002,-0.002,-0.001,0.005,0.002,-0.46,0.01,0,-0.002,-0.003,0.006,-0.42
"James White","HOU",2009,11,0,0,-0.001,0,0,0,0,-0.001,-0.07,0,0,-0.001,0,-0.001,-0.06
"James White","NYK",2013,435,0,-0.007,-0.001,-0.003,0,-0.004,-0.011,0.001,-1.29,-1.93,-0.008,-0.004,-0.005,-0.01,-3.21
"James White","SAS",2007,137,-0.002,-0.005,0,0.002,0.001,-0.002,-0.004,-0.002,-0.45,-0.69,-0.007,0.001,-0.001,-0.006,-1.13
"James Young","BOS",2015,308,0.002,-0.001,0.001,-0.001,0.001,-0.001,0,-0.006,0.38,-0.65,0.001,0,-0.001,-0.007,-0.36
"JamesOn Curry","LAC",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jamie Feick","NJN",2001,149,0.002,0,0.001,0.003,-0.002,0.001,0.004,0,0.17,0.12,0.001,0.003,-0.001,0.004,0.27
"Jamison Brewer","IND",2002,43,0,0.001,0,0,0,0,0,0.001,0.08,0.19,0.001,0,0.001,0,0.27
"Jamison Brewer","IND",2003,80,0.001,0.001,0,0,0,0.001,-0.001,0.001,-0.01,0.3,0.001,0,0.001,0,0.3
"Jamison Brewer","IND",2004,160,0,0,-0.001,0.001,0,0.001,-0.002,0.001,-0.24,0.08,0,0,0,-0.002,-0.14
"Jamison Brewer","NYK",2005,185,-0.002,0,-0.001,0.001,-0.001,0,-0.003,0.001,-0.54,0.03,-0.002,0,0,-0.002,-0.46
"Jan Vesely","DEN, WAS",2014,776,-0.002,-0.003,-0.011,0,-0.004,0.002,0.01,0.006,-0.92,-0.41,-0.006,-0.01,-0.002,0.017,-1.31
"Jan Vesely","WAS",2012,1078,0.002,0,-0.012,0,-0.005,0.001,0.017,-0.002,-0.52,-0.47,0.001,-0.011,-0.004,0.014,-1.04
"Jan Vesely","WAS",2013,601,-0.002,-0.003,-0.008,0,-0.004,0.002,0.008,0.002,-1.07,-0.52,-0.006,-0.007,-0.001,0.01,-1.55
"Jannero Pargo","ATL",2012,671,0.005,0,-0.007,-0.004,-0.001,0.002,-0.006,0.005,-0.08,0.16,0.004,-0.01,0.001,0,0.05
